Num;IDtree;field_name;genus.y;species.y;family;plot;subplot;x;y
14305;25_1_24_3;gmelina;Gmelina;arborea;Lamiaceae;25;1;1781,84;268,39
14306;25_1_24_4;eho;Ricinodendron;heudelotii;Euphorbiaceae;25;1;1785,9;274,18
14307;25_1_24_5;asan;Celtis;zenkeri;Cannabaceae;25;1;1796,37;278,22
14308;25_1_25_1;bete;Mansonia;altissima;Malvaceae;25;1;1796,1;288,87
14309;25_1_25_2;cedrela;Cedrela;odorata;Meliaceae;25;1;1790,74;284,15
14310;25_1_25_3;bosse;Guarea;cedrata;Meliaceae;25;1;1796,9;289,92
14311;25_1_25_4;lotofa;Sterculia;rhinopetala;Malvaceae;25;1;1793,22;290,8
14312;25_1_25_5;asan;Celtis;zenkeri;Cannabaceae;25;1;1783,6;296,87
14313;25_1_3_1;samba;Triplochiton;scleroxylon;Malvaceae;25;1;1710,85;241,09
14314;25_1_3_2;bete;Mansonia;altissima;Malvaceae;25;1;1711,73;242,9
14315;25_1_3_3;cedrela;Cedrela;odorata;Meliaceae;25;1;1705,77;258
14316;25_1_4_1;adaschia;Trema;orientalis;Cannabaceae;25;1;1709,66;267
14317;25_1_4_2;eho;Ricinodendron;heudelotii;Euphorbiaceae;25;1;1707,15;265,24
14318;25_1_4_3;cedrela;Cedrela;odorata;Meliaceae;25;1;1701,25;262,38
14319;25_1_4_4;kotibe;Nesogordonia;papaverifera;Malvaceae;25;1;1701,77;270,28
14320;25_1_5_1;kotibe;Nesogordonia;papaverifera;Malvaceae;25;1;1720;284,04
14321;25_1_6_1;ba;Celtis;mildbraedii;Cannabaceae;25;1;1731,65;296,1
14322;25_1_6_10;fromager;Ceiba;pentandra;Malvaceae;25;1;1724,53;287,94
14323;25_1_6_11;akatio;Chrysophyllum;africanum;Sapotaceae;25;1;1725,99;290,82
14324;25_1_6_3;tuibesso;Baphia;bancoensis;Fabaceae;25;1;1739,72;290,56
14325;25_1_6_4;samba;Triplochiton;scleroxylon;Malvaceae;25;1;1734,72;289,6
14326;25_1_6_5;bi;Eribroma;oblongum;Malvaceae;25;1;1735,02;287,43
14327;25_1_6_6;baimbrou;Diospyros;canaliculata;Ebenaceae;25;1;1734,04;287,53
14328;25_1_6_7;ba;Celtis;mildbraedii;Cannabaceae;25;1;1728,43;289,8
14329;25_1_6_8;ba;Celtis;mildbraedii;Cannabaceae;25;1;1728,21;285,3
14330;25_1_6_9;gaouo;Corynanthe;pachyceras;Rubiaceae;25;1;1729,8;284,56
14331;25_1_7_1;fromager;Ceiba;pentandra;Malvaceae;25;1;1724,3;280
14332;25_1_7_10;ba;Celtis;mildbraedii;Cannabaceae;25;1;1738,8;270,36
14333;25_1_7_11;samba;Triplochiton;scleroxylon;Malvaceae;25;1;1740;268
14334;25_1_7_12;kotibe;Nesogordonia;papaverifera;Malvaceae;25;1;1732,92;267,4
14335;25_1_7_13;papayer;Carica;papaya;Caricaceae;25;1;1736,46;264,12
14336;25_1_7_14;pri;Funtumia;elastica;Apocynaceae;25;1;1731,88;260,97
14337;25_1_7_2;loloti;Lannea;welwitschii;Anacardiaceae;25;1;1726;274,7
14338;25_1_7_3;kotibe;Nesogordonia;papaverifera;Malvaceae;25;1;1729,4;275,8
14339;25_1_7_4;bete;Mansonia;altissima;Malvaceae;25;1;1731,06;274,8
14340;25_1_7_5;tuibesso;Baphia;bancoensis;Fabaceae;25;1;1733,81;277
14341;25_1_7_6;fromager;Ceiba;pentandra;Malvaceae;25;1;1735,83;278,58
14342;25_1_7_7;keremon;Majidea;fosteri;Sapindaceae;25;1;1729,4;276,72
14343;25_1_7_8;asan;Celtis;zenkeri;Cannabaceae;25;1;1736,85;274,53
14344;25_1_7_9;cedrela;Cedrela;odorata;Meliaceae;25;1;1739,52;272,26
14345;25_1_8_1;asan;Celtis;zenkeri;Cannabaceae;25;1;1737,35;256,8
14346;25_1_8_10;asan;Celtis;zenkeri;Cannabaceae;25;1;1733,5;246,9
14347;25_1_8_11;lati;Amphimas;pterocarpoides;Fabaceae;25;1;1740;244,16
14348;25_1_8_12;azodau;Afzelia;bella;Fabaceae;25;1;1740;250,06
14349;25_1_8_13;baimbrou;Diospyros;canaliculata;Ebenaceae;25;1;1740;250,23
14350;25_1_8_14;ouindo;Lasiodiscus;mildbraedii;Rhamnaceae;25;1;1730,26;241,6
14351;25_1_8_2;eho;Ricinodendron;heudelotii;Euphorbiaceae;25;1;1739,32;254,5
14352;25_1_8_3;bete;Mansonia;altissima;Malvaceae;25;1;1737,36;253,87
14353;25_1_8_4;akossika.petites.feuilles;Scottellia;klaineana;Achariaceae;25;1;1735,16;253,4
14354;25_1_8_5;ouindo;Lasiodiscus;mildbraedii;Rhamnaceae;25;1;1734,2;250,8
14355;25_1_8_6;difou;Morus;mesozygia;Moraceae;25;1;1733,9;249,4
14356;25_1_8_7;ouara.grand;Cola;gigantea;Malvaceae;25;1;1730,65;251,3
14357;25_1_8_8;asan;Celtis;zenkeri;Cannabaceae;25;1;1725,22;250,95
14358;25_1_8_9;samba;Triplochiton;scleroxylon;Malvaceae;25;1;1726,3;250,19
14359;25_1_9_10;kotibe;Nesogordonia;papaverifera;Malvaceae;25;1;1737,76;220,6
14360;25_1_9_2;asan;Celtis;zenkeri;Cannabaceae;25;1;1732,33;232,8
14361;25_1_9_3;okoue;Baphia;nitida;Fabaceae;25;1;1732,4;229
14362;25_1_9_4;bi;Eribroma;oblongum;Malvaceae;25;1;1727,36;227,2
14363;25_1_9_5;kotibe;Nesogordonia;papaverifera;Malvaceae;25;1;1723,92;229,42
14364;25_1_9_6;cedrela;Cedrela;odorata;Meliaceae;25;1;1721,05;234
14365;25_1_9_7;kotibe;Nesogordonia;papaverifera;Malvaceae;25;1;1731,47;221,45
14366;25_1_9_8;kekele;Holoptelea;grandis;Ulmaceae;25;1;1732,78;220,63
14367;25_1_9_9;baimbrou;Diospyros;canaliculata;Ebenaceae;25;1;1732,98;223,41
14368;25_2_1_1;cedrela;Cedrela;odorata;Meliaceae;25;2;1800,2;201,9
14369;25_2_1_11;cedrela;Cedrela;odorata;Meliaceae;25;2;1804;220
14370;25_2_1_2;ba;Celtis;mildbraedii;Cannabaceae;25;2;1809,07;204,4
14371;25_2_1_3;lohonfe;Celtis;adolphi-fridericii;Cannabaceae;25;2;1807,95;205,06
14372;25_2_1_4;kotibe;Nesogordonia;papaverifera;Malvaceae;25;2;1810,52;208,43
